22:24:21.95,->,ID,,DLC,,,DATA,,,,,
22:24:33.11,->,550,8,10,0,0,0,0,0,0,D0,
22:24:33.14,->,550,8,10,0,0,0,0,0,0,30,
22:24:33.18,->,450,8,0,0,0,0,0,0,B,0,
22:24:33.21,->,550,8,10,0,0,0,0,0,0,50,
22:24:33.21,->,450,8,0,0,0,0,0,0,B,0,
22:24:33.24,->,550,8,10,0,0,0,0,0,0,70,
22:24:33.28,->,450,8,0,0,0,0,0,0,B,0,
22:24:33.31,->,550,8,10,0,0,0,0,0,0,90,
22:24:33.34,->,450,8,0,0,0,0,0,0,B,0,
22:24:33.34,->,550,8,10,0,0,0,0,0,0,B0,
22:24:33.38,->,450,8,0,0,0,0,0,0,B,0,
22:24:33.41,->,550,8,10,0,0,0,0,0,0,D0,
